,date,high,low,open,volume,adj close,ma5,ma10,ma30,macd,ema,year,month,date_1,day,return,close,Name
0,2016-06-01,32.62386703491211,32.08905029296875,32.2673225402832,1565580.0,31.28512954711914,,,,0.0,32.2673225402832,2016,6,1,2,,32.2673225402832,太極(4934)
1,2016-06-02,32.445594787597656,30.573734283447266,32.445594787597656,4132998.0,29.902360916137695,,,,-0.03199762564439368,31.19768762588501,2016,6,2,3,-1.4261798858642578,30.841142654418945,太極(4934)
2,2016-06-03,31.375959396362305,30.662870407104492,30.930278778076172,2354821.0,29.988784790039062,,,,-0.038007220317464174,31.01255842355581,2016,6,3,4,0.08913612365722656,30.930278778076172,太極(4934)
3,2016-06-06,30.841142654418945,30.128053665161133,30.662870407104492,2496739.0,29.729515075683594,,,,-0.04946371869315769,30.776519012451168,2016,6,6,0,-0.2674083709716797,30.662870407104492,太極(4934)
4,2016-06-07,32.35646057128906,31.55423355102539,31.999914169311523,4161606.0,30.68016815185547,31.268996810913087,,,-0.015631350360003182,31.356807472292054,2016,6,7,1,0.980499267578125,31.643369674682617,太極(4934)
5,2016-06-08,31.82164192199707,31.375959396362305,31.82164192199707,1609894.0,30.593746185302734,31.126379013061523,,,0.0011887958032552604,31.48860565122667,2016,6,8,2,-0.08913612365722656,31.55423355102539,太極(4934)
6,2016-06-13,31.19768714904785,30.662870407104492,31.19768714904785,1647477.0,29.81593894958496,31.10855178833008,,,-0.024386993070606877,30.997314929525892,2016,6,13,0,-0.8022270202636719,30.75200653076172,太極(4934)
7,2016-06-14,31.82164192199707,31.19768714904785,31.19768714904785,1967213.0,30.4208984375,31.197687911987305,,,-0.011469155383529994,31.249783054212244,2016,6,14,1,0.6239528656005859,31.375959396362305,太極(4934)
8,2016-06-15,31.643369674682617,31.108551025390625,31.375959396362305,1369252.0,30.507322311401367,31.358132934570314,,,0.002073079956932844,31.393331991125326,2016,6,15,2,0.08913612365722656,31.46509552001953,太極(4934)
9,2016-06-16,31.46509552001953,30.75200653076172,31.46509552001953,1416370.0,29.81593894958496,31.179860305786132,31.224428558349608,,-0.025081328669791958,30.965774443491643,2016,6,16,3,-0.7130889892578125,30.75200653076172,太極(4934)
10,2016-06-17,31.19768714904785,30.841142654418945,31.108551025390625,1099440.0,29.902360916137695,31.037242126464843,31.081810569763185,,-0.03960301229282592,30.8826861150738,2016,6,17,4,0.08913612365722656,30.841142654418945,太極(4934)
11,2016-06-20,31.732505798339844,31.19768714904785,31.286823272705078,1911680.0,30.68016815185547,31.215514755249025,31.16203327178955,,-0.005643691006223861,31.38980944238835,2016,6,20,0,0.8022270202636719,31.643369674682617,太極(4934)
12,2016-06-21,31.910778045654297,31.46509552001953,31.82164192199707,1277819.0,30.507322311401367,31.23334197998047,31.215514945983887,,0.009545946600461264,31.440000192290057,2016,6,21,1,-0.17827415466308594,31.46509552001953,太極(4934)
13,2016-06-22,32.80213928222656,31.46509552001953,31.732505798339844,5783842.0,31.457975387573242,31.429441833496092,31.393787384033203,,0.07761759403439683,32.11039672932505,2016,6,22,2,0.980499267578125,32.445594787597656,太極(4934)
14,2016-06-23,32.80213928222656,31.999914169311523,32.534732818603516,3847480.0,31.19870376586914,31.71467742919922,31.447268867492674,,0.11209495856234497,32.15558858577608,2016,6,23,3,-0.2674102783203125,32.178184509277344,太極(4934)
15,2016-06-24,32.445594787597656,30.39546012878418,32.445594787597656,3834018.0,30.075206756591797,31.75033187866211,31.393787002563478,,0.06656826420951845,31.39813944548498,2016,6,24,4,-1.1587696075439453,31.0194149017334,太極(4934)
16,2016-06-27,31.46509552001953,30.662870407104492,30.841142654418945,1419736.0,30.334476470947266,31.679022598266602,31.447268676757812,,0.04757015366972084,31.32392866305706,2016,6,27,0,0.2674083709716797,31.286823272705078,太極(4934)
17,2016-06-28,31.732505798339844,31.286823272705078,31.286823272705078,71800.0,30.593746185302734,31.696850204467772,31.465096092224123,,0.049296872035949235,31.47746525543225,2016,6,28,1,0.2674102783203125,31.55423355102539,太極(4934)
18,2016-06-29,31.999914169311523,31.46509552001953,31.732505798339844,1645795.0,30.85301399230957,31.572059631347656,31.500750732421874,,0.06717819222530963,31.706916366672875,2016,6,29,2,0.2674083709716797,31.82164192199707,太極(4934)
