,date,high,low,open,volume,adj close,ma5,ma10,ma30,macd,ema,year,month,date_1,day,return,close,Name
74,2016-09-19,52.20000076293945,51.5,52.0,1923000.0,41.2683219909668,51.75999984741211,50.96999931335449,50.16499951680501,0.2115745984403148,51.85981362884207,2016,9,19,0,0.5,52.0,億光(2393)
75,2016-09-20,52.0,51.099998474121094,52.0,1639000.0,40.71278762817383,51.67999954223633,51.039999389648436,50.19499944051107,0.21035998909662368,51.486604034321054,2016,9,20,1,-0.7000007629394531,51.29999923706055,億光(2393)
76,2016-09-21,51.70000076293945,51.0,51.70000076293945,938000.0,40.79214859008789,51.6,51.119999694824216,50.23833287556966,0.2149677837021784,51.42886902869296,2016,9,21,2,0.10000228881835938,51.400001525878906,億光(2393)
77,2016-09-22,51.79999923706055,50.70000076293945,51.79999923706055,1291000.0,40.55406188964844,51.45999984741211,51.30499954223633,50.30833282470703,0.1922501734918356,51.20962199231172,2016,9,22,3,-0.3000030517578125,51.099998474121094,億光(2393)
78,2016-09-23,51.900001525878906,50.79999923706055,51.5,1805000.0,40.633426666259766,51.4,51.43999977111817,50.404999542236325,0.1802207667057587,51.203207839396875,2016,9,23,4,0.10000228881835938,51.20000076293945,億光(2393)
79,2016-09-26,51.099998474121094,50.400001525878906,51.099998474121094,1316000.0,40.15725326538086,51.119999694824216,51.43999977111817,50.48166618347168,0.1209726065438943,50.80106826254635,2016,9,26,0,-0.6000022888183594,50.599998474121094,億光(2393)
80,2016-09-27,50.599998474121094,50.599998474121094,50.599998474121094,0.0,40.15725326538086,50.97999954223633,51.32999954223633,50.55166613260905,0.07317521092317492,50.66702173692951,2016,9,27,1,0.0,50.599998474121094,億光(2393)
81,2016-09-28,50.599998474121094,50.599998474121094,50.599998474121094,0.0,40.15725326538086,50.81999893188477,51.20999946594238,50.60166613260905,0.034893807432844426,50.6223395617239,2016,9,28,2,0.0,50.599998474121094,億光(2393)
82,2016-09-29,50.70000076293945,49.900001525878906,50.599998474121094,3046000.0,39.68107986450195,50.599999237060544,51.029999542236325,50.614999516805014,-0.04328421199098642,50.20744652057463,2016,9,29,3,-0.5999984741210938,50.0,億光(2393)
83,2016-09-30,50.79999923706055,49.79999923706055,49.79999923706055,2161000.0,39.919166564941406,50.41999893188476,50.909999465942384,50.673332850138344,-0.08014331269784947,50.26914833156524,2016,9,30,4,0.2999992370605469,50.29999923706055,億光(2393)
84,2016-10-03,51.20000076293945,50.5,50.70000076293945,1418000.0,40.633426666259766,50.539999389648436,50.82999954223633,50.71833292643229,-0.03640869322774165,50.889716619148054,2016,10,3,0,0.9000015258789062,51.20000076293945,億光(2393)
85,2016-10-04,51.400001525878906,50.79999923706055,51.29999923706055,1392000.0,40.71278762817383,50.67999954223633,50.82999954223633,50.77833290100098,0.006237953282862918,51.16323836442305,2016,10,4,1,0.09999847412109375,51.29999923706055,億光(2393)
86,2016-10-05,51.20000076293945,50.400001525878906,51.099998474121094,1951000.0,40.15725326538086,50.67999954223633,50.74999923706055,50.813332875569664,-0.016197419939025792,50.78774510422175,2016,10,5,2,-0.7000007629394531,50.599998474121094,億光(2393)
87,2016-10-06,50.900001525878906,50.20000076293945,50.5,1400000.0,40.31597900390625,50.83999938964844,50.71999931335449,50.839999516805015,-0.017652618052700575,50.79591452611428,2016,10,6,3,0.20000076293945312,50.79999923706055,億光(2393)
88,2016-10-07,50.70000076293945,49.54999923706055,50.5,3731000.0,39.323951721191406,50.689999389648435,50.5549991607666,50.80166613260905,-0.11820843337144282,49.96530433341179,2016,10,7,4,-1.25,49.54999923706055,億光(2393)
89,2016-10-11,50.20000076293945,48.849998474121094,49.70000076293945,2143000.0,39.04618453979492,50.289999389648436,50.414999389648436,50.74833285013835,-0.2235378881344232,49.45510195309689,2016,10,11,1,-0.34999847412109375,49.20000076293945,億光(2393)
90,2016-10-12,49.70000076293945,48.79999923706055,49.599998474121094,2305000.0,38.80809783935547,49.80999984741211,50.244999694824216,50.67833290100098,-0.3274236266059347,49.08503500161823,2016,10,12,2,-0.2999992370605469,48.900001525878906,億光(2393)
91,2016-10-13,49.25,48.599998474121094,49.150001525878906,1252000.0,38.689056396484375,49.44000015258789,50.05999984741211,50.63333295186361,-0.41703953949397743,48.86167833387274,2016,10,13,3,-0.15000152587890625,48.75,億光(2393)
92,2016-10-14,49.099998474121094,48.099998474121094,49.099998474121094,1668000.0,38.3319206237793,48.94000015258789,49.88999977111816,50.569999567667644,-0.5183691457809161,48.48722560266461,2016,10,14,4,-0.4500007629394531,48.29999923706055,億光(2393)
93,2016-10-17,49.099998474121094,48.25,48.29999923706055,1597000.0,38.49065017700195,48.73000030517578,49.70999984741211,50.503332901000974,-0.5759059728738478,48.49574186755487,2016,10,17,0,0.20000076293945312,48.5,億光(2393)
