,date,high,low,open,volume,adj close,ma5,ma10,ma30,macd,ema,year,month,date_1,day,close,Name
0,2016-06-01,13.100000381469727,12.850000381469727,13.0,760000.0,10.102607727050781,,,,0.0,12.949999809265137,2016,6,1,2,12.949999809265137,鼎元(2426)
1,2016-06-02,13.0,12.699999809265137,12.949999809265137,863000.0,9.907577514648438,,,,-0.00560897435897445,12.762499809265135,2016,6,2,3,12.699999809265137,鼎元(2426)
2,2016-06-03,13.100000381469727,12.649999618530273,12.800000190734863,1658000.0,10.06360149383545,,,,-0.0009449645229402392,12.857691984910229,2016,6,3,4,12.899999618530273,鼎元(2426)
3,2016-06-06,12.850000381469727,12.649999618530273,12.75,666000.0,9.985589027404785,,,,-0.0024109639893090673,12.818750023841856,2016,6,6,0,12.800000190734863,鼎元(2426)
4,2016-06-07,12.949999809265137,12.699999809265137,12.800000190734863,759000.0,9.94658374786377,12.819999885559081,,,-0.00514643197165654,12.772727280608878,2016,6,7,1,12.75,鼎元(2426)
5,2016-06-08,12.800000190734863,12.649999618530273,12.800000190734863,607000.0,9.94658374786377,12.779999923706054,,,-0.006694083390780037,12.75755494767493,2016,6,8,2,12.75,鼎元(2426)
6,2016-06-13,12.699999809265137,12.399999618530273,12.699999809265137,652000.0,9.751551628112793,12.739999961853027,,,-0.018896725349060617,12.585773102427881,2016,6,13,0,12.5,鼎元(2426)
7,2016-06-14,12.800000190734863,12.449999809265137,12.449999809265137,634000.0,9.907577514648438,12.7,,,-0.017263184519549668,12.661935848724552,2016,6,14,1,12.699999809265137,鼎元(2426)
8,2016-06-15,12.800000190734863,12.600000381469727,12.699999809265137,526000.0,9.868569374084473,12.669999885559083,,,-0.018350012959309936,12.653977957625614,2016,6,15,2,12.649999618530273,鼎元(2426)
9,2016-06-16,12.800000190734863,12.649999618530273,12.800000190734863,399000.0,9.907577514648438,12.65999984741211,12.739999866485595,,-0.016278531008227404,12.684659711650161,2016,6,16,3,12.699999809265137,鼎元(2426)
10,2016-06-17,12.800000190734863,12.600000381469727,12.75,515000.0,9.868569374084473,12.639999771118164,12.70999984741211,,-0.017217140987355606,12.661552852464675,2016,6,17,4,12.649999618530273,鼎元(2426)
11,2016-06-20,13.850000381469727,12.75,12.75,4591000.0,10.492670059204102,12.829999732971192,12.78499984741211,,0.026273732067908284,13.187185146068211,2016,6,20,0,13.449999809265137,鼎元(2426)
12,2016-06-21,13.600000381469727,13.300000190734863,13.399999618530273,2027000.0,10.492670059204102,12.97999973297119,12.839999866485595,,0.05817920964650014,13.362395031428932,2016,6,21,1,13.449999809265137,鼎元(2426)
13,2016-06-22,13.75,13.350000381469727,13.449999809265137,2457000.0,10.609688758850098,13.169999885559083,12.919999885559083,,0.08999871699418449,13.520798631241053,2016,6,22,2,13.600000381469727,鼎元(2426)
14,2016-06-23,13.75,13.5,13.699999809265137,834000.0,10.531675338745117,13.329999923706055,12.994999885559082,,0.10691292349860859,13.506932876114021,2016,6,23,3,13.5,鼎元(2426)
15,2016-06-24,13.449999809265137,12.899999618530273,13.399999618530273,1594000.0,10.141613006591797,13.4,13.019999885559082,,0.0880787049666818,13.168977617520445,2016,6,24,4,13.0,鼎元(2426)
