,date,date,high,low,open,volume,adj close,ma5,ma10,ma30,macd,ema,year,month,date,date,day,close,Name
0,2016-06-01,1,3.869999885559082,3.7699999809265137,3.7699999809265137,6829000.0,3.2868387699127197,,,,0.0,3.809999942779541,2016,6,2016-06-01,1,2,3.809999942779541,彩晶(6116)
1,2016-06-02,2,3.8499999046325684,3.740000009536743,3.8499999046325684,7094000.0,3.243704319000244,,,,-0.001121793801968085,3.7724999785423274,2016,6,2016-06-02,2,3,3.759999990463257,彩晶(6116)
2,2016-06-03,3,3.9600000381469727,3.759999990463257,3.759999990463257,14675000.0,3.3903610706329346,,,,0.0038423042286126474,3.881538501152625,2016,6,2016-06-03,3,4,3.930000066757202,彩晶(6116)
3,2016-06-06,6,4.090000152587891,3.9700000286102295,3.9700000286102295,12098000.0,3.459376335144043,,,,0.008894283588834373,3.9682501673698423,2016,6,2016-06-06,6,0,4.010000228881836,彩晶(6116)
4,2016-06-07,7,4.039999961853027,3.9100000858306885,4.019999980926514,10793000.0,3.4680027961730957,3.90600004196167,,,0.011850119697044192,4.002892604544144,2016,6,2016-06-07,7,1,4.019999980926514,彩晶(6116)
5,2016-06-08,8,4.050000190734863,4.0,4.019999980926514,7055000.0,3.4680027961730957,3.9480000495910645,,,0.013404235202490788,4.014313188227979,2016,6,2016-06-08,8,2,4.019999980926514,彩晶(6116)
6,2016-06-13,13,4.050000190734863,3.9800000190734863,4.0,11260000.0,3.459376335144043,3.9980000972747805,,,0.013717015712223724,4.011436566669572,2016,6,2016-06-13,13,0,4.010000228881836,彩晶(6116)
7,2016-06-14,14,4.190000057220459,4.010000228881836,4.010000228881836,17805000.0,3.6060328483581543,4.048000049591065,,,0.021791341668360165,4.123829204861711,2016,6,2016-06-14,14,1,4.179999828338623,彩晶(6116)
8,2016-06-15,15,4.289999961853027,4.110000133514404,4.239999771118164,18249000.0,3.623286724090576,4.085999965667725,,,0.028043367859823753,4.1746121878401565,2016,6,2016-06-15,15,2,4.199999809265137,彩晶(6116)
9,2016-06-16,16,4.239999771118164,4.139999866485596,4.210000038146973,9249000.0,3.5974061489105225,4.115999984741211,4.01100001335144,,0.03052512176129696,4.171537394737458,2016,6,2016-06-16,16,3,4.170000076293945,彩晶(6116)
