,date,date,high,low,open,volume,adj close,ma5,ma10,ma30,macd,ema,year,month,date,date,day,close,Name
0,2016-06-01,1,9.720000267028809,9.600000381469727,9.720000267028809,211000.0,8.446881294250488,,,,0.0,9.640000343322754,2016,6,2016-06-01,1,2,9.640000343322754,宏齊(6168)
1,2016-06-02,2,9.640000343322754,9.420000076293945,9.640000343322754,125000.0,8.376782417297363,,,,-0.0017948700831507125,9.580000400543213,2016,6,2016-06-02,2,3,9.5600004196167,宏齊(6168)
2,2016-06-03,3,9.5600004196167,9.380000114440918,9.5600004196167,137000.0,8.27163314819336,,,,-0.006008239588183528,9.48307675581712,2016,6,2016-06-03,3,4,9.4399995803833,宏齊(6168)
3,2016-06-06,6,9.4399995803833,9.329999923706055,9.4399995803833,54000.0,8.175248146057129,,,,-0.011748811645917456,9.37974989414215,2016,6,2016-06-06,6,0,9.329999923706055,宏齊(6168)
4,2016-06-07,7,9.289999961853027,9.149999618530273,9.149999618530273,157000.0,8.070100784301758,9.436000061035156,,,-0.019395882194865877,9.266115693021412,2016,6,2016-06-07,7,1,9.210000038146973,宏齊(6168)
5,2016-06-08,8,9.289999961853027,9.1899995803833,9.229999542236328,135000.0,8.061338424682617,9.347999954223633,,,-0.024055846199317443,9.2219778915028,2016,6,2016-06-08,8,2,9.199999809265137,宏齊(6168)
6,2016-06-13,13,9.199999809265137,9.010000228881836,9.199999809265137,156000.0,7.894854545593262,9.23799991607666,,,-0.03523727410040145,9.08059480270986,2016,6,2016-06-13,13,0,9.010000228881836,宏齊(6168)
7,2016-06-14,14,9.15999984741211,9.0,9.0,156000.0,8.017526626586914,9.179999923706054,,,-0.03550985205645496,9.126871733258412,2016,6,2016-06-14,14,1,9.149999618530273,宏齊(6168)
8,2016-06-15,15,9.199999809265137,9.100000381469727,9.149999618530273,143000.0,8.061338424682617,9.15399990081787,,,-0.03267761815222947,9.175626260916182,2016,6,2016-06-15,15,2,9.199999809265137,宏齊(6168)
9,2016-06-16,16,9.279999732971191,9.149999618530273,9.279999732971191,96000.0,8.105149269104004,9.161999893188476,9.298999977111816,,-0.027617608129288485,9.225209593336816,2016,6,2016-06-16,16,3,9.25,宏齊(6168)
10,2016-06-17,17,9.25,9.170000076293945,9.25,109000.0,8.035051345825195,9.155999946594239,9.251999950408935,,-0.027835891974318017,9.188403040867504,2016,6,2016-06-17,17,4,9.170000076293945,宏齊(6168)
11,2016-06-20,20,9.699999809265137,9.199999809265137,9.199999809265137,552000.0,8.403069496154785,9.271999931335449,9.254999923706055,,-0.004546217243371231,9.45613495246592,2016,6,2016-06-20,20,0,9.59000015258789,宏齊(6168)
12,2016-06-21,21,9.59000015258789,9.399999618530273,9.59000015258789,250000.0,8.245347023010254,9.323999977111816,9.251999950408935,,0.002618455965521349,9.425378196471959,2016,6,2016-06-21,21,1,9.40999984741211,宏齊(6168)
13,2016-06-22,22,9.609999656677246,9.40999984741211,9.40999984741211,264000.0,8.376782417297363,9.396000099182128,9.275,,0.016640759853165932,9.515126363999231,2016,6,2016-06-22,22,2,9.5600004196167,宏齊(6168)
14,2016-06-23,23,9.609999656677246,9.40999984741211,9.569999694824219,158000.0,8.368020057678223,9.456000137329102,9.309000015258789,,0.026409933629517823,9.538375583443264,2016,6,2016-06-23,23,3,9.550000190734863,宏齊(6168)
15,2016-06-24,24,9.5,9.069999694824219,9.5,231000.0,8.017526626586914,9.452000045776368,9.303999996185302,,0.009230875636793812,9.279458267486472,2016,6,2016-06-24,24,4,9.149999618530273,宏齊(6168)
16,2016-06-27,27,9.350000381469727,9.100000381469727,9.100000381469727,171000.0,8.140199661254883,9.392000007629395,9.331999969482421,,0.004678753185798357,9.286486063785263,2016,6,2016-06-27,27,0,9.289999961853027,宏齊(6168)
17,2016-06-28,28,9.489999771118164,9.149999618530273,9.180000305175781,41000.0,8.219059944152832,9.386000061035157,9.355000019073486,,0.006809623155669797,9.348828764383283,2016,6,2016-06-28,28,1,9.380000114440918,宏齊(6168)
18,2016-06-29,29,10.300000190734863,9.539999961853027,9.539999961853027,1285000.0,9.02519416809082,9.534000015258789,9.46500005722046,,0.0673813010042128,9.982943049163255,2016,6,2016-06-29,29,2,10.300000190734863,宏齊(6168)
19,2016-06-30,30,10.850000381469727,10.399999618530273,10.800000190734863,2412000.0,9.24425220489502,9.73400001525879,9.595000076293946,,0.1295497348204453,10.360981143652747,2016,6,2016-06-30,30,3,10.550000190734863,宏齊(6168)
20,2016-07-01,1,10.800000190734863,10.350000381469727,10.5,1814000.0,9.33187484741211,10.034000015258789,9.743000030517578,,0.1826459412533108,10.553660126922852,2016,7,2016-07-01,1,4,10.649999618530273,宏齊(6168)
